Name,UserId,Social Account,Gender,Score,Comments count,Followers,Followings,Posts count
nbdieulinh,61b37f3c47f5fe4413881db3,,2,38,0,0,0,7
Moondancer,631c06da9b3473a272a4150a,,1,3,0,1,1,3
AllyJane,6236f8310fac15a9f4e518f7,,2,118,13,16,2,3
MyNameIsBim,614eeb936171fc19b619c55d,https://www.youtube.com/channel/UCxnZCIIg-ZKgsJi8segmuPQ,1,201,0,75,1,3
Dlee_sfl,64dc454c81dad93c392aa716,,2,25,0,1,1,12
trutroet,6412e3a72a0ebb610f46a1bc,,1,9,4,2,0,2
Nguyetquynh,63fa34925c8fac8ebead2e88,,2,126,11,27,1,10
vedanataa,6504255e23c462d26d3bda4f,,0,3,0,1,0,1
MeoToMo,65b3bae667e2b8882b60401d,https://www.tiktok.com/@meotomo,3,15,2,6,1,11
DominicoSavio,60ee5d26c23be37ebf37917c,,1,87,41,5,28,35
ArchStoa,60ebe7143583b555c24e8981,,1,23,0,8,0,11
olivence,60ebe6e83583b555c24e4ad8,,2,11,0,0,0,4
quangninhanh,60ebe6ff3583b555c24e6c70,,1,87,0,10,2,7
bigmorty,62f945720668a9fb68112afc,,0,14,6,0,0,1
kimuyen123,64e1b8ef72e74fcb3ab03df9,,2,56,3,19,1,9
nguoithichviet,64296c37f9d1e4e6cce9e699,,2,5,0,2,0,3
Accclonethui,63bba8606bd87150f395ca65,,1,89,17,12,1,74
kaixadesign,60ebe6c63583b555c24e1b0e,kaixa.co,1,4,1,1,2,1
Tintin0401,626eb32bf77040fbfd57beeb,,2,349,49,74,0,6
mementovivere,6584115213deb5e10fc37156,,3,4,0,2,1,1
SmileyMeo,63541b70749d2b1ab54b2e3c,,2,18,0,1,1,2
BetterMee,6446e4af8905f2fdf163f10e,,2,17,2,6,1,3
CallmeSa,63a2a09f525ef24321b55c63,https://www.facebook.com/savox2209,1,27,11,3,1,8
Phanhoanganh0605,63a400b4525ef24321b55da7,,1,3,0,1,0,1
lekhanh12102005,6444f7d1c60cf5aaa39131c2,,0,34,4,5,3,6
haydenlee,62f118b40668a9fb6811230c,,1,523,0,216,0,9
hvcngao1234,65422937543d9df59c0240da,,0,5,1,0,0,3
baobinh020272,643a7b5e5159e82d7e7767d4,https://www.facebook.com/profile.php?id=100010165187540,2,29,0,2,0,25
EzioSkywalker98,60ebe6393583b555c24d5422,https://www.facebook.com/AerochirStark/,1,3726,453,3802,21,201
Le_Diem_Diem,615fc9d847f5fe441387c278,https://www.facebook.com/lediemdiem.279/,2,142,27,25,0,33
HongVanPhong,610a9d922b274ba68b87e851,https://www.facebook.com/phong.hv,1,10,9,0,0,3
verydarkkk,60ebe6703583b555c24da186,,2,696,0,106,5,20
Enola____,6430efaebec98419a33c6941,,1,8,4,7,0,1
FirstOptionVN,650875f023c462d26d3bdd86,,1,68,0,17,0,109
sekai194,63914d57f49ab572676644c8,,1,7,2,1,0,1
khuyettinh,62fb31c10668a9fb68112cd4,,1,3,0,0,0,1
cuminh1605,65e429e3da477fce1eba79b4,,0,7,0,0,0,3
Chung6btn,6551984b543d9df59c024af6,,1,4,0,0,0,1
Jennie_le,6522db0b4e1c1b0675229ed7,,2,11,1,0,0,2
howaboutginny,6426846af9d1e4e6cce9e340,,2,6,1,2,0,1
Quang56,63a27bbe525ef24321b55c2f,,0,24,4,23,0,7
northdious,60ebe62d3583b555c24d440e,,0,202,0,0,0,18
